No.;Lapangan Pekerjaan Utama;2020 Februari;2020 Agustus;2021 Februari;2021 Agustus;2022 Februari;2022 Agustus;2023 Februari;2023 Agustus;2024 Februari;2024 Agustus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Pertanian, Kehutanan dan Perikanan;38956801;38224371;38777600;37130676;40635997;38703996;40694572;39451238;40720959;40757151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Pertambangan dan Penggalian;1342568;1352236;1348217;1443422;1587978;1530157;1696911;1662488;1702556;1733523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Industri Pengolahan;18709441;17482849;17823568;18694463;18671926;19172397;18829997;19343332;18880391;20010758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Pengadaan Listrik, Gas, Uap/Air Panas dan Udara Dingin;343830;303551;274622;284518;309484;311124;357148;322629;360997;355280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah;463359;490984;498535;562726;534247;511150;568604;493076;575441;556713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Konstruksi;8116426;8066497;7929651;8293769;8188425;8481349;8605748;9251821;8645266;9470763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;"Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor";24773768;24702695;25161613;25736110;25800553;26193890;2623881;26552658;27085695;27328692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Transportasi dan Pergudangan;5509153;5591941;5307649;5443654;5710510;5805308;5835171;6147477;5900351;6199637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Penyediaan Akomodasi dan Penyediaan Makan Minum;9059188;8543794;9167542;9180340;9635433;9607709;10146818;10785255;11108827;11270801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Informasi dan Komunikasi;962935;933273;1083471;998199;1097558;1009091;1192482;989872;1230780;1026529;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Jasa Keuangan dan Asuransi;1819735;1557927;1513576;1597805;1512007;1626460;1600153;1637167;1638487;1711261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Real Estat;426483;393665;471378;355955;450519;450007;477275;481752;479902;559307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Jasa Perusahaan;1824699;1796755;1891659;2017071;1940203;2237712;2057271;2331434;2214743;2445403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib;5435306;4569946;4657639;4848980;4633405;4875999;4715229;4880331;5465768;5093430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Jasa Pendidikan;7110557;6028610;6493179;6491628;6626638;6512249;673607;6921209;7259205;7158071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Jasa Kesehatan dan Kegiatan Sosial;2219080;2005522;2307668;2197328;2384745;2234153;2476565;2210722;2497559;2374984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Jasa Lainnya;6219537;6409568;6356738;5773879;5892267;6033962;6403675;6389916;6412119;6589701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total;133292866;128454184;131064305;131050523;135611895;135296713;138632511;139852377;142179046;144642004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
